,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
QB,57,C.J.,Beathard,JAC,6,25,40,53,349,1,35,0,8,,,,,,,,,,,,,,
QB,58,Tim,Boyle,NYJ,3,22.5,48,77,360,1,5,0,4,,,,,,,,,,,,,,
QB,59,Jameis,Winston,NO,6,20.6,25,47,264,2,-6,0,5,,,,,,,,,,,,,,
QB,60,Jeff,Driskel,CLE,1,19.6,13,26,166,2,33,0,7,,,,,,,,,,,,,,
QB,61,Case,Keenum,HOU,2,18.7,34,53,291,1,1,0,2,,,,,,,,,,,,,,
QB,62,Davis,Mills,HOU,5,17.6,18,39,173,2,9,0,2,,,,,,,,,,,,,,
QB,63,Marcus,Mariota,PHI,2,17.4,15,23,164,1,52,0,8,,,,,,,,,,,,,,
QB,64,Blaine,Gabbert,KC,2,13.8,18,35,185,0,45,0,7,,,,,,,,,,,,,,
QB,65,Clayton,Tune,ARI,6,12.1,12,21,62,0,30,1,8,,,,,,,,,,,,,,
QB,66,Brian,Hoyer,LV,2,11.3,23,42,231,0,-3,0,3,,,,,,,,,,,,,,
QB,67,Brett,Rypien,LAR,2,10.5,18,38,172,0,19,0,3,,,,,,,,,,,,,,
QB,68,Jaren,Hall,MIN,3,9.8,13,20,168,0,14,0,6,,,,,,,,,,,,,,
QB,69,Mike,White,MIA,6,6.8,5,6,74,1,-9,0,8,,,,,,,,,,,,,,
QB,70,Cooper,Rush,DAL,7,6.7,18,24,144,0,-5,0,12,,,,,,,,,,,,,,
QB,71,Malik,Willis,TEN,2,5.8,4,5,74,0,21,0,5,,,,,,,,,,,,,,
QB,72,Logan,Woodside,ATL,1,2,3,4,27,0,6,0,1,,,,,,,,,,,,,,
QB,73,Sean,Clifford,GB,2,1.7,1,1,37,0,-2,0,3,,,,,,,,,,,,,,
QB,74,AJ,McCarron,CIN,2,1,4,5,19,0,0,0,0,,,,,,,,,,,,,,
