,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
QB,51,Easton,Stick,LAC,5,19.7,16.0,26.0,185,2.0,24,0.0,,,,,,,,,,,,,,
QB,52,Michael,Penix,ATL,12,18.4,22.0,35.0,255,1.0,16,0.0,,,,,,,,,,,,,,
QB,53,Mac,Jones,JAC,12,18.2,25.0,37.0,266,1.0,9,0.0,,,,,,,,,,,,,,
QB,54,Kenny,Pickett,PHI,5,17.9,23.0,37.0,265,1.0,6,0.0,,,,,,,,,,,,,,
QB,55,Josh,Johnson,BAL,14,16.6,20.0,32.0,235,1.0,8,0.0,,,,,,,,,,,,,,
QB,56,Mitchell,Trubisky,BUF,12,15.6,20.0,30.0,216,1.0,8,0.0,,,,,,,,,,,,,,
QB,57,Cooper,Rush,DAL,7,13.9,16.0,26.0,188,1.0,5,0.0,,,,,,,,,,,,,,
QB,58,Kyle,Trask,TB,11,13.8,17.0,27.0,195,1.0,0,0.0,,,,,,,,,,,,,,
QB,59,Carson,Wentz,KC,6,12.7,15.0,25.0,165,1.0,4,0.0,,,,,,,,,,,,,,
QB,60,Mike,White,MIA,6,10.3,10.0,17.0,115,1.0,5,0.0,,,,,,,,,,,,,,
QB,61,Andy,Dalton,CAR,11,9.9,10.0,15.0,113,1.0,2,0.0,,,,,,,,,,,,,,
QB,62,Hendon,Hooker,DET,5,5.8,9.0,14.0,108,0.0,4,0.0,,,,,,,,,,,,,,
RB,0,Christian,McCaffrey,SF,9,341.4,,,,,"1,289",11.0,258.0,67.0,555,4.0,,,,,,,,,,
RB,1,Bijan,Robinson,ATL,12,286.0,,,,,"1,055",7.0,224.0,67.0,535,3.0,,,,,,,,,,
RB,2,Breece,Hall,NYJ,12,283.8,,,,,"1,080",7.0,235.0,66.0,498,3.0,,,,,,,,,,
RB,3,Jonathan,Taylor,IND,14,255.3,,,,,"1,122",9.0,255.0,45.0,321,2.0,,,,,,,,,,
RB,4,Kyren,Williams,LAR,6,250.4,,,,,"1,165",10.0,248.0,37.0,249,2.0,,,,,,,,,,
RB,5,Rachaad,White,TB,11,246.8,,,,,916,5.0,241.0,61.0,462,3.0,,,,,,,,,,
RB,6,James,Cook,BUF,12,240.3,,,,,"1,082",4.0,225.0,48.0,421,3.0,,,,,,,,,,
RB,7,Saquon,Barkley,PHI,5,235.6,,,,,"1,037",7.0,247.0,46.0,319,2.0,,,,,,,,,,
RB,8,Travis,Etienne,JAC,12,235.2,,,,,"1,077",7.0,256.0,44.0,355,1.0,,,,,,,,,,
RB,9,Alvin,Kamara,NO,12,234.7,,,,,788,5.0,197.0,66.0,479,2.0,,,,,,,,,,
RB,10,Jahmyr,Gibbs,DET,5,230.0,,,,,899,8.0,180.0,47.0,331,2.0,,,,,,,,,,
RB,11,Derrick,Henry,BAL,14,228.7,,,,,"1,099",11.0,250.0,27.0,198,1.0,,,,,,,,,,
RB,12,Isiah,Pacheco,KC,6,218.0,,,,,"1,055",7.0,224.0,35.0,235,2.0,,,,,,,,,,
RB,13,Josh,Jacobs,GB,10,215.3,,,,,956,6.0,228.0,46.0,317,1.0,,,,,,,,,,
RB,14,Joe,Mixon,HOU,14,211.8,,,,,945,6.0,230.0,40.0,293,2.0,,,,,,,,,,
RB,15,DeVon,Achane,MIA,6,211.0,,,,,945,6.0,172.0,39.0,295,2.0,,,,,,,,,,
RB,16,Aaron,Jones,MIN,6,210.1,,,,,888,5.0,202.0,46.0,333,2.0,,,,,,,,,,
RB,17,Zamir,White,LV,10,203.6,,,,,969,6.0,231.0,38.0,267,1.0,,,,,,,,,,
RB,18,Kenneth,Walker,SEA,10,202.5,,,,,961,8.0,229.0,29.0,234,1.0,,,,,,,,,,
RB,19,Raheem,Mostert,MIA,6,200.0,,,,,868,10.0,185.0,28.0,192,1.0,,,,,,,,,,
RB,20,Najee,Harris,PIT,9,199.6,,,,,"1,010",7.0,253.0,31.0,196,1.0,,,,,,,,,,
RB,21,David,Montgomery,DET,5,199.0,,,,,955,10.0,212.0,22.0,155,1.0,,,,,,,,,,
RB,22,Rhamondre,Stevenson,NE,14,195.6,,,,,845,6.0,206.0,42.0,271,1.0,,,,,,,,,,
RB,23,Tyjae,Spears,TEN,5,190.8,,,,,582,3.0,127.0,57.0,456,2.0,,,,,,,,,,
RB,24,DAndre,Swift,CHI,7,189.8,,,,,833,5.0,181.0,39.0,255,2.0,,,,,,,,,,
